934	stanford	staff	entity	few	few	yes	yes	1	188	934
923	stanford	rgrp	entity	many	many	yes	no	0	187	923
892	stanford	staff	entity	normal	few	yes	yes	1	184	892
872	stanford	faculty	entity	many	many	yes	yes	1	182	872
839	stanford	big_org	entity	many	many	yes	no	0	179	839
660	stanford	big_org	entity	many	many	yes	no	0	160	660
626	stanford	course	entity	many	many	yes	no	2	157	626
616	stanford	course	entity	normal	few	yes	no	2	156	616
431	stanford	staff	entity	normal	normal	yes	yes	1	139	431
313	stanford	course	entity	normal	few	yes	no	0	128	313
303	stanford	course	entity	few	many	yes	no	2	127	303
271	stanford	student	entity	normal	normal	yes	yes	1	124	271
260	stanford	student	entity	few	normal	yes	yes	1	123	260
252	stanford	student	entity	normal	few	yes	yes	1	122	252
242	stanford	rgrp	entity	normal	many	yes	no	0	121	242
231	stanford	rproj	entity	few	normal	yes	no	1	120	231
187	stanford	faculty	entity	many	many	yes	yes	1	116	187
176	stanford	course	entity	few	normal	yes	no	2	115	176
166	stanford	course	entity	few	many	yes	no	2	114	166
155	stanford	course	entity	few	normal	yes	no	3	113	155
144	stanford	course	entity	few	many	yes	no	3	112	144
133	stanford	course	entity	few	many	yes	no	3	111	133
122	stanford	course	entity	few	many	yes	no	3	110	122
110	stanford	course	entity	few	many	yes	no	3	109	110
99	stanford	course	entity	few	many	yes	no	3	108	99
88	stanford	course	entity	few	many	yes	no	3	107	88
77	stanford	course	entity	few	many	yes	no	3	106	77
66	stanford	course	entity	few	many	yes	no	3	105	66
55	stanford	faculty	entity	many	normal	no	no	2	104	55
44	stanford	course	entity	few	many	no	no	0	103	44
3460	cmu	rgrp	entity	few	few	no	no	3	3552	3460
7958	berkeley	course	entity	few	few	yes	no	3	8177	7958
7878	berkeley	rproj	entity	few	few	no	no	0	8082	7878
10127	mit	big_org	entity	normal	few	yes	no	0	11241	10127
10120	mit	big_org	entity	few	few	yes	no	0	11234	10120
10096	mit	rgrp	entity	few	few	yes	no	0	11208	10096
9910	mit	rgrp	entity	few	few	yes	no	0	11021	9910
1055	stanford	course	entity	few	few	yes	no	2	1999	1055
1054	stanford	course	entity	few	few	yes	no	2	1998	1054
1053	stanford	course	entity	few	few	yes	no	2	1997	1053
1052	stanford	course	entity	normal	many	yes	no	2	1996	1052
1051	stanford	course	entity	normal	few	yes	no	2	1995	1051
1050	stanford	course	entity	many	many	yes	no	2	1994	1050
1049	stanford	course	entity	normal	many	yes	no	2	1993	1049
1048	stanford	course	entity	normal	few	yes	no	2	1992	1048
1047	stanford	course	entity	normal	many	yes	no	2	1991	1047
1046	stanford	course	entity	normal	many	yes	no	2	1990	1046
1044	stanford	course	entity	few	few	yes	no	2	1989	1044
1043	stanford	course	entity	few	few	yes	no	2	1988	1043
1042	stanford	course	entity	normal	normal	yes	no	2	1987	1042
1041	stanford	course	entity	normal	many	yes	no	2	1986	1041
1040	stanford	course	entity	normal	many	yes	no	2	1985	1040
1039	stanford	course	entity	normal	many	yes	no	2	1984	1039
1038	stanford	course	entity	normal	normal	yes	no	2	1983	1038
1037	stanford	course	entity	few	normal	yes	no	2	1982	1037
1036	stanford	course	entity	few	few	yes	no	2	1981	1036
1035	stanford	course	entity	normal	normal	yes	no	2	1980	1035
1033	stanford	course	entity	few	normal	yes	no	2	1979	1033
1032	stanford	course	entity	normal	many	yes	no	2	1978	1032
1031	stanford	course	entity	normal	normal	yes	no	2	1977	1031
1030	stanford	course	entity	few	normal	yes	no	2	1976	1030
1029	stanford	course	entity	few	normal	yes	no	2	1975	1029
1028	stanford	course	entity	few	few	yes	no	2	1974	1028
1027	stanford	course	entity	normal	many	yes	no	2	1973	1027
1026	stanford	course	entity	few	normal	yes	no	2	1972	1026
1025	stanford	course	entity	normal	few	yes	no	2	1971	1025
1024	stanford	course	entity	normal	few	yes	no	2	1970	1024
1022	stanford	course	entity	normal	few	yes	no	2	1969	1022
1021	stanford	course	entity	normal	many	yes	no	2	1968	1021
1020	stanford	course	entity	normal	many	yes	no	2	1967	1020
1019	stanford	course	entity	normal	few	yes	no	2	1966	1019
1018	stanford	course	entity	many	many	yes	no	2	1965	1018
1017	stanford	course	entity	normal	few	yes	no	2	1964	1017
1016	stanford	course	entity	normal	many	yes	no	2	1963	1016
1015	stanford	course	entity	normal	few	yes	no	2	1962	1015
1014	stanford	course	entity	normal	few	yes	no	2	1961	1014
1013	stanford	course	entity	normal	many	yes	no	2	1960	1013
1011	stanford	course	entity	normal	many	yes	no	2	1959	1011
1010	stanford	course	entity	normal	few	yes	no	2	1958	1010
1009	stanford	course	entity	normal	few	yes	no	2	1957	1009
1008	stanford	course	entity	normal	few	yes	no	2	1956	1008
1007	stanford	course	entity	normal	normal	yes	no	2	1955	1007
1006	stanford	course	entity	normal	many	yes	no	2	1954	1006
1005	stanford	course	entity	normal	few	yes	no	2	1953	1005
1004	stanford	course	entity	normal	few	yes	no	2	1952	1004
1003	stanford	course	entity	normal	few	yes	no	2	1951	1003
1002	stanford	course	entity	normal	normal	yes	no	2	1950	1002
1000	stanford	course	entity	normal	normal	yes	no	2	1949	1000
999	stanford	course	entity	normal	many	yes	no	2	1948	999
998	stanford	course	entity	few	normal	yes	no	2	1947	998
997	stanford	student	entity	few	many	yes	yes	1	1946	997
996	stanford	student	entity	few	few	yes	yes	1	1945	996
994	stanford	faculty	entity	many	normal	yes	yes	1	1943	994
992	stanford	student	entity	normal	many	yes	yes	1	1941	992
978	stanford	student	entity	many	normal	yes	yes	1	1929	978
977	stanford	student	entity	few	few	yes	yes	1	1928	977
976	stanford	student	entity	normal	many	yes	yes	1	1927	976
975	stanford	student	entity	normal	many	yes	yes	1	1926	975
969	stanford	faculty	entity	many	many	yes	yes	1	1920	969
964	stanford	student	entity	normal	few	yes	yes	1	1916	964
963	stanford	student	entity	many	normal	yes	yes	1	1915	963
962	stanford	student	entity	few	many	yes	yes	1	1914	962
961	stanford	student	entity	normal	few	yes	yes	1	1913	961
960	stanford	student	entity	normal	few	yes	yes	1	1912	960
953	stanford	faculty	entity	many	many	yes	yes	1	1906	953
948	stanford	student	entity	normal	few	yes	yes	1	1901	948
947	stanford	student	entity	normal	many	yes	yes	1	1900	947
6583	berkeley	rgrp	entity	few	few	yes	no	0	6758	6583
1433	stanford	rgrp	entity	many	many	yes	no	0	2349	1433
1432	stanford	rgrp	entity	few	many	yes	no	0	2348	1432
1431	stanford	big_org	entity	many	many	yes	no	0	2347	1431
1429	stanford	big_org	entity	many	many	yes	no	0	2344	1429
1428	stanford	rgrp	entity	normal	many	yes	no	0	2343	1428
1426	stanford	faculty	entity	few	many	yes	no	2	2341	1426
1425	stanford	big_org	entity	many	normal	yes	no	0	2340	1425
1423	stanford	big_org	entity	few	many	yes	no	0	2339	1423
1422	stanford	big_org	entity	many	many	yes	no	0	2337	1422
1420	stanford	big_org	entity	few	many	yes	no	0	2335	1420
1419	stanford	rproj	entity	many	many	yes	no	0	2334	1419
1418	stanford	faculty	entity	many	many	yes	yes	1	2332	1418
1414	stanford	faculty	entity	few	many	yes	no	2	2327	1414
1413	stanford	rgrp	entity	few	many	yes	no	0	2326	1413
1410	stanford	rgrp	entity	many	many	yes	no	0	2322	1410
1409	stanford	big_org	entity	normal	many	yes	no	0	2321	1409
1408	stanford	faculty	entity	few	many	yes	no	2	2320	1408
