1	5099	5405	none	cmu
2	2889	4464	none	cmu
3	5825	5836	none	berkeley
4	7014	8148	none	berkeley
5	9031	9836	none	mit
6	498	499	none	stanford
7	5839	8651	member	berkeley
8	4763	5131	none	cmu
9	2620	3812	none	cmu
10	2606	4100	ta	cmu
11	7297	7852	none	berkeley
12	2620	4470	none	cmu
13	3153	3702	none	cmu
14	10195	10867	none	mit
15	3445	3721	member	cmu
16	4934	4988	none	cmu
17	8954	10518	none	mit
18	9123	10363	none	mit
19	104	146	member	stanford
20	7186	7931	none	berkeley
21	6737	8351	none	berkeley
22	104	149	none	stanford
23	9917	10483	none	mit
24	6884	8562	none	berkeley
25	6780	7486	none	berkeley
26	5003	5075	none	cmu
27	6201	7912	member	berkeley
28	921	924	none	stanford
29	901	1970	none	stanford
30	3598	5657	member	cmu
31	3598	5658	member	cmu
32	698	1429	none	stanford
33	6436	7667	none	berkeley
34	6193	7838	advisor	berkeley
35	5135	5346	none	cmu
36	3395	4988	none	cmu
37	5925	8351	none	berkeley
38	460	494	member	stanford
39	104	153	none	stanford
40	6884	7913	none	berkeley
41	5657	5658	partof	cmu
42	104	157	member	stanford
43	709	710	none	stanford
44	6283	6761	none	berkeley
45	6201	7923	none	berkeley
46	9917	10499	none	mit
47	6201	7924	partof	berkeley
48	815	824	advisor	stanford
49	6884	8579	none	berkeley
50	6087	7384	member	berkeley
51	6703	6802	ta	berkeley
52	5037	5333	none	cmu
53	6269	7056	none	berkeley
54	52	53	none	stanford
55	52	54	none	stanford
56	5012	5100	member	cmu
57	6199	6223	none	berkeley
58	2716	3812	none	cmu
59	5847	6436	none	berkeley
60	894	1480	none	stanford
61	4462	4464	none	cmu
62	3704	5777	member	cmu
63	9086	9089	none	mit
64	5003	5096	none	cmu
65	5987	7800	none	berkeley
66	2600	5750	none	cmu
67	7536	7820	none	berkeley
68	3495	3514	none	cmu
69	1040	2061	ta	stanford
70	1575	1611	instructor	stanford
71	4048	4470	none	cmu
72	6437	6603	none	berkeley
73	878	1975	none	stanford
74	53	802	none	stanford
75	8191	8351	none	berkeley
76	1817	1875	member	stanford
77	1817	1876	member	stanford
78	6884	7937	none	berkeley
79	6432	7801	member	berkeley
80	6884	8596	none	berkeley
81	8113	8748	none	berkeley
82	5052	5296	none	cmu
83	6193	7865	advisor	berkeley
84	8127	8223	member	berkeley
85	8127	8225	advisor	berkeley
86	6070	7610	none	berkeley
87	5135	5376	none	cmu
88	7671	7711	none	berkeley
89	3779	5787	none	cmu
90	6409	8082	none	berkeley
91	2620	3853	none	cmu
92	1038	2037	none	stanford
93	2620	3856	none	cmu
94	2620	3858	none	cmu
95	6347	8351	none	berkeley
96	5340	5433	none	cmu
97	53	815	none	stanford
98	3537	5178	advisor	cmu
99	1841	1842	member	stanford
100	3516	3517	member	cmu
101	6001	6004	member	berkeley
102	3926	4988	member	cmu
103	5135	5388	none	cmu
104	1038	2041	instructor	stanford
105	7573	7704	none	berkeley
106	5036	5791	none	cmu
107	9044	10322	member	mit
108	2620	3865	none	cmu
109	2620	3866	none	cmu
110	2786	5698	none	cmu
111	2620	3867	none	cmu
112	5061	5329	none	cmu
113	6145	7261	member	berkeley
114	2620	3869	none	cmu
115	1660	1754	instructor	stanford
116	7186	7983	advisor	berkeley
117	4309	5015	member	cmu
118	4170	4478	member	cmu
119	6185	6782	advisor	berkeley
120	6001	6010	partof	berkeley
121	6001	6011	none	berkeley
122	3718	5284	none	cmu
123	6201	7969	partof	berkeley
124	709	758	instructor	stanford
125	5135	5393	none	cmu
126	6409	7441	ta	berkeley
127	5135	5397	none	cmu
128	1575	1640	instructor	stanford
129	1522	2224	none	stanford
130	6366	6884	none	berkeley
131	2620	3873	none	cmu
132	3445	3780	member	cmu
133	7330	8187	none	berkeley
134	2620	3874	none	cmu
135	6339	6612	none	berkeley
136	308	1081	none	stanford
137	308	1082	none	stanford
138	6249	8351	none	berkeley
139	1660	1764	ta	stanford
140	807	824	advisor	stanford
141	3508	5775	none	cmu
142	8881	8882	member	berkeley
143	308	1086	none	stanford
144	698	1485	none	stanford
145	1938	2078	none	stanford
146	3792	5013	none	cmu
147	6001	6022	none	berkeley
148	2433	4513	none	cmu
149	2876	3972	advisor	cmu
150	7330	8190	none	berkeley
151	5815	7409	none	berkeley
152	2620	3882	none	cmu
153	10701	10873	none	mit
154	4309	5030	member	cmu
155	308	1092	none	stanford
156	7229	7908	none	berkeley
157	7742	8156	advisor	berkeley
158	5033	5504	partof	cmu
159	6314	7059	none	berkeley
160	5025	5063	none	cmu
161	924	2194	none	stanford
162	2560	3308	advisor	cmu
163	3321	3975	advisor	cmu
164	9904	10803	none	mit
165	6417	7904	none	berkeley
166	3495	3565	none	cmu
167	9904	10807	none	mit
168	1673	1684	none	stanford
169	6195	7056	none	berkeley
170	2882	5002	member	cmu
171	2620	3898	none	cmu
172	6737	7772	none	berkeley
173	905	907	none	stanford
174	7852	7854	instructor	berkeley
175	9044	10359	partof	mit
176	7229	7917	none	berkeley
177	3347	3789	none	cmu
178	7260	7378	none	berkeley
179	2634	2716	none	cmu
180	6208	8628	instructor	berkeley
181	2642	4470	member	cmu
182	7717	7979	none	berkeley
183	6626	7851	instructor	berkeley
184	5009	5558	partof	cmu
185	4527	5002	member	cmu
186	6314	7066	none	berkeley
187	3902	4368	member	cmu
188	7935	7937	instructor	berkeley
189	428	1047	none	stanford
190	9049	10120	none	mit
191	6389	6403	none	berkeley
192	9904	10815	none	mit
193	2606	3534	none	cmu
194	1658	1754	instructor	stanford
195	8148	8627	none	berkeley
196	7302	7717	none	berkeley
197	3865	4874	none	cmu
198	5033	5524	partof	cmu
199	1827	2185	none	stanford
200	9049	10131	none	mit
201	1827	2186	member	stanford
202	6195	6412	member	berkeley
203	5033	5529	partof	cmu
204	1620	1624	none	stanford
205	3965	4045	none	cmu
206	7377	7715	member	berkeley
207	1575	1684	none	stanford
208	6384	7610	none	berkeley
209	5034	5101	member	cmu
210	6014	8644	ta	berkeley
211	6022	6400	none	berkeley
212	6737	7793	none	berkeley
213	6014	8646	ta	berkeley
214	5034	5105	none	cmu
215	98	1426	none	stanford
216	6237	7409	none	berkeley
217	3960	5248	none	cmu
218	10129	10827	none	mit
219	7229	8596	none	berkeley
220	6273	8351	none	berkeley
221	6223	7931	member	berkeley
222	5025	5097	member	cmu
223	9904	10837	none	mit
224	5059	5346	none	cmu
